t,phi_model_real,phi_model_imag,phi_model_abs
31.02,-7.1627179908428e-07,4.494643399027179e-06,4.551358541642487e-06
31.03,-8.605402195661673e-07,4.364913432245859e-06,4.4489323146673425e-06
31.04,-9.9622202500636e-07,4.233617767070144e-06,4.349250248118607e-06
31.05,-1.1235169812364744e-06,4.101094248364834e-06,4.25220700826028e-06
31.06,-1.2426289232019176e-06,3.967660621901774e-06,4.157698576300106e-06
31.07,-1.3537651399664027e-06,3.8336152583027365e-06,4.065622461921398e-06
31.08,-1.4571358061688042e-06,3.699237875702341e-06,3.9758779682794565e-06
31.09,-1.5529534564952016e-06,3.5647902601203227e-06,3.888366499789997e-06
31.1,-1.641432499774607e-06,3.4305169826702394e-06,3.802991903712817e-06
31.11,-1.7227887693241812e-06,3.2966461128187652e-06,3.7196608362688935e-06
31.12,-1.797239106183364e-06,3.1633899269486745e-06,3.6382831438351685e-06
31.13,-1.8650009718821109e-06,3.0309456114607987e-06,3.558772249632546e-06
31.14,-1.926292087411869e-06,2.899495959581583e-06,3.481045536280085e-06
31.15,-1.98133009511051e-06,2.7692100609284525e-06,3.4050247146442254e-06
31.16,-2.030332240261263e-06,2.6402439827133625e-06,3.3306361695775835e-06
31.17,-2.0735150693225235e-06,2.5127414412922975e-06,3.257811273461875e-06
31.18,-2.111094141898553e-06,2.3868344625317144e-06,3.18648665892193e-06
31.19,-2.1432837537994345e-06,2.2626440292628298e-06,3.116604442732399e-06
31.2,-2.1702966688474806e-06,2.140280713878238e-06,3.0481123937626723e-06
31.21,-2.192343857456321e-06,2.019845293944367e-06,2.980964038829665e-06
31.22,-2.2096342404357875e-06,1.9014293485711948e-06,2.9151187015478662e-06
31.23,-2.222374436943334e-06,1.785115833207999e-06,2.8505414706594058e-06
31.24,-2.2307685160152703e-06,1.670979630529821e-06,2.7872030958813442e-06
31.25,-2.2350177516216276e-06,1.5590880751733301e-06,2.7250798109801253e-06
31.26,-2.235320381707155e-06,1.4495014502550258e-06,2.6641530855352217e-06
31.27,-2.2318713721671133e-06,1.3422734538768546e-06,2.6044093086305795e-06
31.28,-2.2248621871363857e-06,1.2374516341837269e-06,2.545839409446966e-06
31.29,-2.214480567345142e-06,1.135077791976197e-06,2.4884384213773143e-06
