s_m,x_m,y_m,z_m,kappa_m_inv,tau_m_inv,phi_integrated_rad,phi_pt_rad
1.3920515280295604e+01,1.2690169316443320e+00,-4.6147043127494081e-01,3.7471516262044186e-01,4.3458754488201662e-01,-1.3147956220876380e+00,-6.7288861811739062e+00,-6.7075270922105981e+00
1.3934690957770446e+01,1.2684686004742922e+00,-4.4971121894887583e-01,3.6681775182598547e-01,4.2476987517770970e-01,-1.3544067137982390e+00,-6.7475242998579557e+00,-6.7265661932121974e+00
1.3948866635245290e+01,1.2679039464432249e+00,-4.3799690085152132e-01,3.5885504223913689e-01,4.2077907581338914e-01,-1.3773437860174882e+00,-6.7667239326025213e+00,-6.7463016936438072e+00
1.3963042312720132e+01,1.2673237131971002e+00,-4.2633029114009041e-01,3.5082370233498866e-01,4.1552375426453392e-01,-1.3974607440915694e+00,-6.7862487138850840e+00,-6.7652441227173314e+00
1.3977217990194974e+01,1.2667291264346345e+00,-4.1471361883356944e-01,3.4272133395024390e-01,4.0283083620083049e-01,-1.4547618237015434e+00,-6.8060586666770799e+00,-6.7853341138172736e+00
1.3991393667669819e+01,1.2661235945236651e+00,-4.0314090052543344e-01,3.3455711676538008e-01,3.9835108228971200e-01,-1.4794912554682160e+00,-6.8266809010925869e+00,-6.8067073321322296e+00
1.4005569345144661e+01,1.2655082918059277e+00,-3.9161411192367590e-01,3.2632890081256705e-01,3.9446303467204719e-01,-1.4974003619013083e+00,-6.8476536919569542e+00,-6.8269735552392428e+00
1.4019745022619503e+01,1.2648844393124605e+00,-3.8013660106702718e-01,3.1803271796371618e-01,3.8007695361680893e-01,-1.5712176563839932e+00,-6.8688803565379803e+00,-6.8484554766389261e+00
1.4033920700094345e+01,1.2642548658215518e+00,-3.6870165184985187e-01,3.0967840187929419e-01,3.7568674578947525e-01,-1.5961299350827711e+00,-6.8911534312776581e+00,-6.8715807014504895e+00
1.4048096377569189e+01,1.2636209694734744e+00,-3.5731095170915023e-01,3.0126417516575599e-01,3.7171252261402843e-01,-1.6177652163365925e+00,-6.9137796544453343e+00,-6.8934040465821367e+00
1.4062272055044032e+01,1.2629843380369259e+00,-3.4596776672551960e-01,2.9278620125770050e-01,3.5663096787114423e-01,-1.7081899298378729e+00,-6.9367125723821408e+00,-6.9166991930458304e+00
1.4076447732518874e+01,1.2623470057842359e+00,-3.3466530747281981e-01,2.8425406488642346e-01,3.5275640900569638e-01,-1.7316253410938560e+00,-6.9609273218932968e+00,-6.9417587377201952e+00
1.4090623409993718e+01,1.2617105790788008e+00,-3.2340541903262204e-01,2.7566575689038259e-01,3.4760174517112158e-01,-1.7647731890447602e+00,-6.9854742842359077e+00,-6.9654445296721006e+00
1.4104799087468560e+01,1.2610769839385596e+00,-3.1219029593082614e-01,2.6701885977630524e-01,3.3264623031015267e-01,-1.8727515298665753e+00,-7.0104911397800560e+00,-6.9910809825768618e+00
1.4118974764943403e+01,1.2604474545392488e+00,-3.0101363314818197e-01,2.5832201354564321e-01,3.2957821672090232e-01,-1.8933708122133930e+00,-7.0370386614579621e+00,-7.0183394274243058e+00
1.4133150442418245e+01,1.2598239410469640e+00,-2.8987775516813385e-01,2.4957257441965153e-01,3.2248883406852130e-01,-1.9483083079195513e+00,-7.0638784754321806e+00,-7.0443012260490727e+00
