source_family,folder,folder_name,ideal_id_inferred,fseries_count,txt_count,coordinate_txt,component_count_in_coordinate_txt,is_link_candidate,file_examples
ideal.txt,ideal.txt,10:1:139,10:1:139,,,,1,NO,"Conway=4,3,3-"
ideal.txt,ideal.txt,10:1:14,10:1:14,,,,1,NO,Conway=4 2 1 1 2
ideal.txt,ideal.txt,10:1:140,10:1:140,,,,1,NO,"Conway=4,3,2 1-"
ideal.txt,ideal.txt,10:1:141,10:1:141,,,,1,NO,"Conway=4,2 1,2 1-"
ideal.txt,ideal.txt,10:1:142,10:1:142,,,,1,NO,"Conway=3 1,3,3-"
ideal.txt,ideal.txt,10:1:143,10:1:143,,,,1,NO,"Conway=3 1,3,2 1-"
ideal.txt,ideal.txt,10:1:144,10:1:144,,,,1,NO,"Conway=3 1,2 1,2 1-"
ideal.txt,ideal.txt,10:1:145,10:1:145,,,,1,NO,"Conway=2 2,3,3-"
ideal.txt,ideal.txt,10:1:146,10:1:146,,,,1,NO,"Conway=2 2,2 1,2 1-"
ideal.txt,ideal.txt,10:1:147,10:1:147,,,,1,NO,"Conway=2 1 1,3,2 1-"
ideal.txt,ideal.txt,10:1:148,10:1:148,,,,1,NO,"Conway=(3,2)(3,2-)"
ideal.txt,ideal.txt,10:1:149,10:1:149,,,,1,NO,"Conway=(3,2)(2 1,2-)"
ideal.txt,ideal.txt,10:1:15,10:1:15,,,,1,NO,Conway=4 1 3 2
ideal.txt,ideal.txt,10:1:150,10:1:150,,,,1,NO,"Conway=(2 1,2)(3,2-)"
ideal.txt,ideal.txt,10:1:151,10:1:151,,,,1,NO,"Conway=(2 1,2)(2 1,2-)"
ideal.txt,ideal.txt,10:1:152,10:1:152,,,,1,NO,"Conway=(3,2)-(3,2)"
ideal.txt,ideal.txt,10:1:153,10:1:153,,,,1,NO,"Conway=(3,2)-(2 1,2)"
ideal.txt,ideal.txt,10:1:154,10:1:154,,,,1,NO,"Conway=(2 1,2)-(2 1,2)"
ideal.txt,ideal.txt,10:1:155,10:1:155,,,,1,NO,Conway=-3:2:2
ideal.txt,ideal.txt,10:1:156,10:1:156,,,,1,NO,Conway=-3:2:2 0
ideal.txt,ideal.txt,10:1:157,10:1:157,,,,1,NO,Conway=-3:2 0:2 0
ideal.txt,ideal.txt,10:1:158,10:1:158,,,,1,NO,Conway=-3 0:2:2
ideal.txt,ideal.txt,10:1:159,10:1:159,,,,1,NO,Conway=-3 0:2:2 0
ideal.txt,ideal.txt,10:1:16,10:1:16,,,,1,NO,Conway=4 1 2 3
ideal.txt,ideal.txt,10:1:160,10:1:160,,,,1,NO,Conway=-3 0:2 0:2 0
ideal.txt,ideal.txt,10:1:161,10:1:161,,,,1,NO,Conway=3:-2 0:-2 0
ideal.txt,ideal.txt,10:1:162,10:1:162,,,,1,NO,Conway=2 1:-2 0:-2 0
ideal.txt,ideal.txt,10:1:163,10:1:163,,,,1,NO,Conway=-3 0:-2 0:-2 0
ideal.txt,ideal.txt,10:1:164,10:1:164,,,,1,NO,Conway=8*-3 0
ideal.txt,ideal.txt,10:1:165,10:1:165,,,,1,NO,Conway=8*2:-2 0
ideal.txt,ideal.txt,10:1:166,10:1:166,,,,1,NO,Conway=8*2:.-2 0
ideal.txt,ideal.txt,10:1:17,10:1:17,,,,1,NO,Conway=4 1 1 4
ideal.txt,ideal.txt,10:1:18,10:1:18,,,,1,NO,Conway=4 1 1 2 2
ideal.txt,ideal.txt,10:1:19,10:1:19,,,,1,NO,Conway=4 1 1 1 3
ideal.txt,ideal.txt,10:1:2,10:1:2,,,,1,NO,Conway=7 1 2
ideal.txt,ideal.txt,10:1:20,10:1:20,,,,1,NO,Conway=3 5 2
ideal.txt,ideal.txt,10:1:21,10:1:21,,,,1,NO,Conway=3 4 1 2
ideal.txt,ideal.txt,10:1:22,10:1:22,,,,1,NO,Conway=3 3 1 3
ideal.txt,ideal.txt,10:1:23,10:1:23,,,,1,NO,Conway=3 3 1 1 2
ideal.txt,ideal.txt,10:1:24,10:1:24,,,,1,NO,Conway=3 2 3 2
ideal.txt,ideal.txt,10:1:25,10:1:25,,,,1,NO,Conway=3 2 2 1 2
ideal.txt,ideal.txt,10:1:26,10:1:26,,,,1,NO,Conway=3 2 1 1 3
ideal.txt,ideal.txt,10:1:27,10:1:27,,,,1,NO,Conway=3 2 1 1 1 2
ideal.txt,ideal.txt,10:1:28,10:1:28,,,,1,NO,Conway=3 1 3 1 2
ideal.txt,ideal.txt,10:1:29,10:1:29,,,,1,NO,Conway=3 1 2 2 2
ideal.txt,ideal.txt,10:1:3,10:1:3,,,,1,NO,Conway=6 4
ideal.txt,ideal.txt,10:1:30,10:1:30,,,,1,NO,Conway=3 1 2 1 1 2
ideal.txt,ideal.txt,10:1:31,10:1:31,,,,1,NO,Conway=3 1 1 3 2
ideal.txt,ideal.txt,10:1:32,10:1:32,,,,1,NO,Conway=3 1 1 1 2 2
ideal.txt,ideal.txt,10:1:33,10:1:33,,,,1,NO,Conway=3 1 1 1 1 3
ideal.txt,ideal.txt,10:1:34,10:1:34,,,,1,NO,Conway=2 5 1 2
ideal.txt,ideal.txt,10:1:35,10:1:35,,,,1,NO,Conway=2 4 2 2
ideal.txt,ideal.txt,10:1:36,10:1:36,,,,1,NO,Conway=2 4 1 1 2
ideal.txt,ideal.txt,10:1:37,10:1:37,,,,1,NO,Conway=2 3 3 2
ideal.txt,ideal.txt,10:1:38,10:1:38,,,,1,NO,Conway=2 3 1 2 2
ideal.txt,ideal.txt,10:1:39,10:1:39,,,,1,NO,Conway=2 2 3 1 2
