q_m_inv,power
-4.7401115377332272e+16,8.2095914120654645e-10
-4.7376088389276656e+16,1.2048038162244578e-09
-4.7351061401221040e+16,2.3471487093181761e-10
-4.7326034413165424e+16,3.5869963708079066e-10
-4.7301007425109816e+16,4.6186990750262512e-12
-4.7275980437054200e+16,1.9530713309589444e-10
-4.7250953448998584e+16,3.3226694328733476e-10
-4.7225926460942968e+16,7.4661933028175640e-10
-4.7200899472887360e+16,9.2829241637019523e-10
-4.7175872484831744e+16,1.4839632472421297e-09
-4.7150845496776128e+16,1.4014142662952787e-09
-4.7125818508720520e+16,1.9202655807000828e-09
-4.7100791520664904e+16,1.2102482355558198e-09
-4.7075764532609296e+16,1.7225189049832313e-09
-4.7050737544553680e+16,6.8110267904000489e-10
-4.7025710556498064e+16,9.0009825432110196e-10
-4.7000683568442456e+16,1.2874870900329783e-10
-4.6975656580386840e+16,2.3194217452092677e-10
-4.6950629592331224e+16,1.1626556446913857e-10
-4.6925602604275616e+16,1.8382435597007282e-11
-4.6900575616220000e+16,7.3656129130412049e-10
-4.6875548628164384e+16,4.6757225803619941e-10
-4.6850521640108768e+16,1.8320602811251815e-09
-4.6825494652053160e+16,1.1181372749260840e-09
-4.6800467663997544e+16,2.5137319686287666e-09
-4.6775440675941928e+16,1.7121543225181487e-09
-4.6750413687886312e+16,2.3667154911442247e-09
-4.6725386699830704e+16,1.5292949548349035e-09
-4.6700359711775088e+16,1.6194107822888605e-09
-4.6675332723719472e+16,1.0190503382351177e-09
-4.6650305735663864e+16,4.6122567821836882e-10
-4.6625278747608248e+16,6.0193958675978623e-10
-4.6600251759552632e+16,5.3454808905514239e-11
-4.6575224771497016e+16,6.4735495239670637e-10
-4.6550197783441408e+16,7.0909665845753819e-10
-4.6525170795385792e+16,1.3868519473643377e-09
-4.6500143807330176e+16,2.3539675845010808e-09
-4.6475116819274560e+16,2.4756944765644346e-09
-4.6450089831218952e+16,3.9231030364887586e-09
-4.6425062843163336e+16,3.1705407230879761e-09
-4.6400035855107720e+16,5.0559418609926931e-09
